review_id,review_title,avg_rating,rating,review_text,Type_Of_Traveler,Stayed_Period,Reservation ID,Guest ID,Room Number,Hotel ID
1,Exceptional,9.7,10,"Everything was perfect! Quite, cozy place to relax.",Solo traveller,Stayed 1 night,1001,101,9,1
2,I highly recommend this b&b! We enjoyed it a lot!,9.7,9,Very friendly host and perfect breakfast!,Couple,Stayed 1 night,1002,102,52,2
3,Exceptional,9.2,10,"It was just what we wanted for a week by the beach in winter,

Location was fab, apartment quiet and very well-equipped. Spotless clean.",Couple,Stayed 6 nights,1003,103,53,3
4,My stay in the house was a experiencing bliss in luxury. The house is sheer touch of beauty wrapped,9.7,10,My stay in the house was a experiencing bliss in luxury. The house is sheer touch of beauty wrapped by luxury and complimented with kindness and care  from Lisbette & her parents making it a most remarkable stay.,Solo traveller,Stayed 4 nights,1004,104,15,4
5,"One bedroom apartment with wonderful view and free, secure parking, but not close enough  to the main beach area.",9.2,9.2,"The building itself has a very musty smell in the hallway (despite being built in 1988), but the apartment itself smells good, which makes it bearable. 
When showering, the hot water goes off every 2-3 minutes for about 20-30 seconds and then only cold water comes out. The hot water then comes back again. This should be checked out. That is the only thing we didn’t like about the apartment. ,

The view was great, the apartment furnished in a modern style and equipped with everything you may need. The apartment was clean. 
There is free, secure parking outside in the building’s parking lot or downstairs in the garage. 
Jan always responded promptly to all messages sent via Booking.com messenger.",People with friends,Stayed 4 nights,1005,105,42,5
6,Fantastic! Beautiful home with a gracious welcoming hostess,9.7,10,"Nothing,

Beautiful home! Great room, most comfortable bed! The hostess couldn’t do enough for you.  Very gracious and welcoming, even gave my husband a lift to his conference.  Thank you for your generous hospitality.  Would stay here again.",Couple,Stayed 1 night,1006,106,57,6
7,"everything perfect, great bath in the room!",8.8,10,"to many messages sending from the owner in the app. But it is only my filling.,

everything great! perfect location, perfect room, very clean, everything what you need inside, but the best of the best is the bath :)",Couple,Stayed 1 night,1007,107,85,7
8,Very good,9.3,8.3,"Spacious, more than enough rooms, a lot of bath rooms. For electric car drivers, free charging at the Lidl in Givet, only 10 kms, 50 KW.",Family with young children,Stayed 7 nights,1008,108,72,8
9,Superb,9.2,9.2,There are no comments available for this review,Couple,Stayed 3 nights,1009,109,21,9
10,highly recommended,9.7,10,"nothing -- place was perfect,

This is an excellent place to stay and I highly recommend staying there. The stay is extremely helpful. One of the best places I have stayed -- it is that good.",Group,Stayed 1 night,1010,110,2,10
11,Super romantic venue in a cosy town.,8.8,10,Romantic room just around the corner from the train station.  Nice and different setting from most rooms with cute details. Excellent internet connection and Netflix available.,Couple,Stayed 2 nights,1011,111,63,11
12,Exceptional,9.3,10,"Nothing,

Everything- great to have a whole property for less than the price of a hotel",People with friends,Stayed 2 nights,1012,112,22,12
13,Good,7.8,7.5,"Would have like more coffee and some tea available in the room,

Bath a bit high to get out of, otherwise good comfortable room",People with friends,Stayed 1 night,1013,113,10,13
14,Very good,9.5,8,"Room is a bit dull. Some wall decorations or a plant would make the room more enjoyable.,

Unlike most B&B's it has an equiped kitchen.",Solo traveller,Stayed 1 night,1014,114,72,14
